epoch,step,train_loss,val_loss
0,1027,,0.7399829030036926
0,1027,0.4657656252384186,
1,2055,,0.6096096038818359
1,2055,0.23140013217926025,
2,3083,,0.5518352389335632
2,3083,0.18687380850315094,
3,4111,,0.4928695857524872
3,4111,0.16662174463272095,
4,5139,,0.465108186006546
4,5139,0.1547364890575409,
5,6167,,0.44456833600997925
5,6167,0.1470310539007187,
6,7195,,0.4255484938621521
6,7195,0.14056603610515594,
7,8223,,0.4335339367389679
7,8223,0.1375250667333603,
8,9251,,0.39393484592437744
8,9251,0.13030456006526947,
9,10279,,0.3824682831764221
9,10279,0.12614665925502777,
10,11307,,0.38190656900405884
10,11307,0.12548764050006866,
11,12335,,0.3813142776489258
11,12335,0.1213507130742073,
12,13363,,0.37865179777145386
12,13363,0.11753572523593903,
13,14391,,0.36930933594703674
13,14391,0.11828146874904633,
14,15419,,0.3646998703479767
14,15419,0.11282971501350403,
15,16447,,0.3792988657951355
15,16447,0.11508999764919281,
16,17475,,0.3786695599555969
16,17475,0.10962889343500137,
17,18503,,0.37178903818130493
17,18503,0.11169121414422989,
18,19531,,0.3774934709072113
18,19531,0.1074608638882637,
19,20559,,0.3630240857601166
19,20559,0.10635371506214142,
20,21587,,0.35815638303756714
20,21587,0.10614731907844543,
21,22615,,0.36647501587867737
21,22615,0.10570384562015533,
22,23643,,0.38274088501930237
22,23643,0.10208844393491745,
23,24671,,0.39630281925201416
23,24671,0.1026669293642044,
24,25699,,0.37926939129829407
24,25699,0.10027918964624405,
25,26727,,0.36763718724250793
25,26727,0.10099291056394577,
